"DATE","value_TMAX","value_TMIN","value_TAVG","value_CLDD","value_HTDD","flags_TMAX","flags_TMIN","flags_TAVG","flags_CLDD","flags_HTDD"
"1948-08-01","27.809999465942383","19.489999771118164","23.649999618530273","164.89999389648438","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1948-09-01","24.969999313354492","15.3100004196167","20.139999389648438","69.80000305175781","15.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1948-10-01","17.670000076293945","8.84000015258789","13.260000228881836","5.599999904632568","163.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1948-11-01","14.170000076293945","6.599999904632568","10.390000343322754","0.0","238.39999389648438","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1948-12-01","6.550000190734863","-1.149999976158142","2.700000047683716","0.0","484.6000061035156","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-01-01","7.130000114440918","-0.30000001192092896","3.4200000762939453","0.0","462.3999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-02-01","7.409999847412109","-0.6899999976158142","3.359999895095825","0.0","419.20001220703125","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-03-01","9.25","0.38999998569488525","4.820000171661377","0.0","418.8999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-04-01","15.710000038146973","6.579999923706055","11.149999618530273","0.6000000238418579","216.1999969482422","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-05-01","21.020000457763672","11.0","16.010000228881836","19.0","91.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-06-01","26.6299991607666","17.549999237060547","22.09000015258789","121.69999694824219","9.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-07-01","30.1299991607666","21.68000030517578","25.899999618530273","234.6999969482422","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-08-01","28.450000762939453","19.709999084472656","24.079999923706055","178.0","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-09-01","22.68000030517578","13.869999885559082","18.270000457763672","31.799999237060547","33.599998474121094","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-10-01","20.3799991607666","11.9399995803833","16.15999984741211","18.100000381469727","85.4000015258789","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-11-01","11.710000038146973","3.069999933242798","7.389999866485596","0.0","328.29998779296875","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1949-12-01","7.239999771118164","-0.46000000834465027","3.390000104904175","0.0","463.20001220703125","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1950-01-01","8.770000457763672","0.6399999856948853","4.699999809265137","0.0","422.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1950-02-01","3.8299999237060547","-3.6700000762939453","0.07000000029802322","0.0","511.20001220703125","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1950-03-01","6.960000038146973","-2.450000047683716","2.259999990463257","0.0","498.3999938964844","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1950-04-01","12.829999923706055","3.890000104904175","8.359999656677246","0.0","299.1000061035156","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1950-05-01","18.25","9.680000305175781","13.960000038146973","0.0","135.5","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1950-06-01","24.520000457763672","15.850000381469727","20.18000030517578","72.69999694824219","17.200000762939453","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1950-07-01","27.389999389648438","19.229999542236328","23.309999465942383","154.3000030517578","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1950-08-01","25.889999389648438","18.59000015258789","22.239999771118164","121.19999694824219","0.0","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
"1950-09-01","21.389999389648438","14.229999542236328","17.3700008392334","30.399999618530273","57.20000076293945","x, y, z","x, y, z","x, y, z","x, y, z","x, y, z"
